,lat,lng,mean
0,33.961922,-118.420722,57.43
1,34.0734465,-118.1637636,46.86
2,34.1999817,-118.5980226,44.39
3,34.09084,-118.346705,41.58
4,34.2220997,-118.3601198,33.57
5,33.8311031,-118.3087971,49.48
6,34.13980600000001,-118.3782424,42.5
7,34.1638419,-118.3700182,36.06
8,34.0896146,-118.3756135,46.14
9,34.2168956,-118.5953903,30.66
10,33.8585869,-118.2953703,40.0
11,34.0763226,-118.370464,40.14
12,34.257461,-118.6013395,36.31
13,34.0906335,-118.36732,50.29
14,34.0885443,-118.3446752,40.97
15,34.0909001,-118.3432456,39.33
16,34.083667,-118.307082,35.0
17,34.044586,-118.2544325,50.67
18,34.0450851,-118.3485918,39.48
19,34.0022531,-118.4691969,35.2
20,34.1530991,-118.4687597,50.78
21,34.0874386,-118.3096005,25.33
22,34.1698052,-118.6060702,44.64
23,33.7657897,-118.1592088,40.0
24,34.0348699,-118.2236513,38.52
25,34.0771825,-118.2914197,50.0
26,34.0255764,-118.2328349,34.12
27,33.9576431,-118.3955933,52.65
28,34.0007898,-118.4661333,48.5
29,33.9908267,-118.4678781,49.67
30,34.0749202,-118.3835196,51.5
31,34.0281604,-118.232016,32.97
32,40.7342565,-74.0029503,37.22
33,34.0643216,-118.2714597,51.67
34,34.2002053,-118.4665522,45.37
35,34.2217189,-118.5011664,36.69
36,34.2021538,-118.3915267,35.88
37,34.1343672,-118.3602825,40.48
38,34.0707433,-118.3757327,32.06
39,34.0373126,-118.4327165,49.55
40,34.1065741,-118.3304651,38.24
41,34.0629274,-118.3626674,44.58
42,34.2479134,-118.2871721,45.36
43,33.9875724,-118.4705112,43.37
44,34.1224801,-118.2107029,25.0
45,34.1418329,-118.3879959,52.82
46,37.8632729,-122.2906103,47.17
47,37.78192689999999,-122.4083445,50.5
48,37.788283,-122.400411,54.52
49,37.8993642,-122.3093011,34.75
50,37.752592,-122.408791,36.57
51,37.8200183,-122.2252414,45.0
52,37.7823497,-122.4035705,59.6
53,37.7438325,-122.4216653,47.22
54,37.7803486,-122.4710935,47.31
55,37.7579643,-122.4187944,46.17
56,37.7819353,-122.4077931,61.21
57,33.4952354,-112.1472364,60.0
58,33.4652842,-112.1126088,19.5
59,33.5803503,-112.2576355,18.0
60,33.44813320000001,-112.135104,20.0
61,33.4216602,-111.9910241,70.0
62,33.5526592,-112.2583217,52.0
63,33.56595590000001,-112.2554234,32.5
64,33.6824083,-112.084571,17.5
65,33.5677651,-112.150386,42.0
66,33.4431055,-112.233372,50.0
67,33.67095140000001,-112.1178949,70.0
68,33.2925865,-111.9703825,20.0
69,33.4801556,-112.0140717,50.0
70,33.71132900000001,-112.0817067,18.0
71,33.6385168,-112.2759843,15.0
72,33.7986373,-112.0590945,20.0
73,36.1161256,-115.1966589,51.86
74,36.1302168,-115.1759933,60.0
75,36.1497805,-115.1642491,45.0
76,36.1461677,-115.1669147,34.91
77,36.1610621,-115.1485946,54.78
78,36.1549913,-115.1515592,44.33
79,36.18410060000001,-115.1393531,45.34
80,39.696056,-105.0527649,26.11
81,39.72329980000001,-104.8664181,29.38
82,39.6746398,-104.7920973,34.29
83,39.7732103,-104.8490475,27.5
84,39.7721655,-104.9217749,28.44
85,39.7258971,-104.9780181,34.29
86,39.7083543,-104.8749473,27.5
87,39.86596600000001,-105.0246548,40.0
88,39.7114875,-105.024465,24.0
89,39.7398637,-105.0915912,22.5
90,39.8836108,-104.9983,50.0
91,39.7795275,-104.8645385,20.0
92,39.73699120000001,-104.971996,32.36
93,39.7406446,-105.0489606,25.0
94,39.7855193,-104.9597114,25.0
95,39.71694129999999,-104.9880108,33.33
96,39.6381115,-105.0356964,12.0
97,39.6789931,-104.9970328,16.5
98,39.8988613,-104.9634363,35.0
99,39.7398384,-104.969362,26.67
100,47.6128597,-122.3444026,33.0
101,47.5843895,-122.3337112,36.5
102,47.6908253,-122.3608709,36.38
103,47.5751749,-122.3347791,36.5
104,47.717469,-122.345463,23.57
105,47.583461,-122.3295301,36.6
106,47.62297050000001,-122.3129892,36.0
107,47.5063332,-122.332777,38.43
108,47.66117759999999,-122.3242521,44.09
109,47.6121748,-122.3476905,46.76
110,47.5371377,-122.2700242,36.92
111,47.5535932,-122.3356019,41.11
112,47.5526905,-122.386645,41.11
113,47.7048148,-122.3547174,36.38
114,47.66101150000001,-122.3174788,37.86
115,47.61829530000001,-122.3254738,35.0
116,47.7099967,-122.3001799,37.9
117,47.5549709,-122.2901659,40.14
118,47.7160139,-122.3456583,35.0
119,47.6673783,-122.378643,35.0
120,47.7040861,-122.3443169,36.57
121,47.5589302,-122.3823985,36.58
122,47.709073,-122.3015244,30.14
123,47.6647601,-122.3786524,41.94
124,47.7040397,-122.3022197,40.5
125,47.7004192,-122.3029165,42.5
126,47.6525501,-122.3547187,36.75
127,47.5161676,-122.3549419,23.0
128,47.706078,-122.3550623,51.25
129,45.5536463,-122.6758025,14.67
130,45.4549622,-122.7331746,15.0
131,45.4977065,-122.6072699,27.65
132,45.4974263,-122.534662,23.33
133,45.4796074,-122.5711781,30.0
134,45.5047772,-122.5583379,7.34
135,45.4829033,-122.5801289,15.6
136,45.4645449,-122.6552115,27.73
137,45.5192631,-122.5694955,30.0
138,45.4901547,-122.6497223,25.0
139,36.113966,-115.136829,61.0
140,36.12612319999999,-115.1885917,39.64
141,36.1237099,-115.2073495,34.99
142,36.1070574,-115.1525552,52.0
143,36.1246806,-115.0791262,52.0
144,39.7254991,-104.9994482,30.0
145,39.2856378,-76.59596839999999,54.86
146,39.3020316,-76.6183009,48.64
147,39.3663493,-76.6479944,40.03
148,39.2765231,-76.6130233,55.65
149,39.3608631,-76.6106281,51.67
150,39.3471195,-76.5389041,60.0
151,38.9889593,-77.02419619999999,50.73
152,38.9942478,-77.0289871,57.73
